поиск периода
_____________________________________
0.03746468201641997 5
0.03747913640009745 6
0.07880626264846703 7
0.03748645494902056 8
0.03745844445798169 9
0.037472430830823 10
0.03748942845251202 11
поиск ключа
_____________________________________
n-группы  n-сдвига  хи-квадрат
0          0          1.9183506889609512
0          1          3.6035728577563138
0          2          2.1904187050357646
0          3          4.415278275294342
0          4          7.146181823661154
0          5          4.8172251848664285
0          6          2.7040647280529546
0          7          3.763612670714289
0          8          5.630331139217535
0          9          3.550866718056262
0          10          2.3387136392720342
0          11          4.786453809563756
0          12          4.648247449409081
0          13          3.5557399334566275
0          14          2.2139904779669832
0          15          2.0862729177981145
0          16          6.4821124592846955
0          17          17.54142402703269
0          18          6.417573714484998
0          19          10.679552627038486
0          20          4.420725702379147
0          21          8.52750745339768
0          22          12.913477485180943
0          23          2.883899570734419
0          24          4.466131375197573
0          25          13.80296668335981
0          26          7.475162561618792
0          27          2.412897070795995
0          28          0.060366710553908756
0          29          1.5459518306623514
0          30          3.82524428203467
1          0          4.8513424553746205
1          1          3.666797980031659
1          2          2.3057242948654464
1          3          2.114923413272373
1          4          6.5015719130679335
1          5          17.328203346785035
1          6          6.297927738979723
1          7          10.509167424027453
1          8          4.363440649458437
1          9          8.459132114212608
1          10          12.724064768341773
1          11          2.865693952551333
1          12          4.347431363076407
1          13          13.562567899367583
1          14          7.41372300030869
1          15          2.410495700707034
1          16          0.05851276740471201
1          17          1.5157789337638554
1          18          3.853846950103028
1          19          1.856358807248882
1          20          3.4996425316046884
1          21          2.199061191454324
1          22          4.733174903099506
1          23          7.112537977110384
1          24          4.955837080533315
1          25          2.713174995409947
1          26          3.9120006094267117
1          27          6.12909160880703
1          28          3.47764865463498
1          29          2.4828391915272627
1          30          5.154836715561368
2          0          1.9688402498915727
2          1          6.8349625495273285
2          2          18.30288771205033
2          3          6.703110620816916
2          4          10.956362894598021
2          5          4.452661736916162
2          6          8.906939190576916
2          7          13.407595615217668
2          8          3.0655292483749417
2          9          4.604856584436554
2          10          14.276709773579965
2          11          7.866207027796488
2          12          2.5384484287618276
2          13          0.060563932561273064
2          14          1.5478873240740505
2          15          3.8301095156020066
2          16          2.033416285599345
2          17          3.5693279713513064
2          18          2.2235969696666738
2          19          4.7020427110647045
2          20          7.4333586269535
2          21          5.204276459130355
2          22          2.600825429112179
2          23          3.7028637312142534
2          24          6.355945427892241
2          25          3.694527612472329
2          26          2.5905643036992023
2          27          4.933192058102571
2          28          4.876800275393076
2          29          3.9357980485039668
2          30          2.1791464519691237
3          0          1.5484244241080747
3          1          3.7867399042754974
3          2          1.9224118133283559
3          3          3.43856239823711
3          4          2.203434828587526
3          5          4.455438108145934
3          6          7.152706106123075
3          7          4.908517987663135
3          8          2.556018378162375
3          9          3.7103513840016857
3          10          5.946311601186924
3          11          3.546410206045608
3          12          2.408577463262295
3          13          4.880485696531248
3          14          4.834944695866238
3          15          3.7745453452564295
3          16          2.241057504408027
3          17          2.0994713237238103
3          18          6.508487293219373
3          19          17.7498458807113
3          20          6.383712156239359
3          21          10.75310027002225
3          22          4.4106455306901795
3          23          8.50054320395255
3          24          13.02376140959354
3          25          2.965085032241706
3          26          4.2957674087148
3          27          13.801282030065986
3          28          7.570975369285793
3          29          2.442726743057234
3          30          0.05834051349302622
4          0          4.945785172212924
4          1          2.7754934381959204
4          2          3.7576478730210288
4          3          5.752892479033663
4          4          3.611887887511451
4          5          2.4287357673287886
4          6          4.787142664147735
4          7          4.862569832199372
4          8          3.644808304819027
4          9          2.3062857328673347
4          10          2.061984632710438
4          11          6.557185455262542
4          12          18.30109469069601
4          13          6.598042496100561
4          14          11.021762444493932
4          15          4.602391108230885
4          16          8.82899348566309
4          17          13.456128563889164
4          18          3.030815088417464
4          19          4.608735161276733
4          20          14.412588800376119
4          21          7.788483175146329
4          22          2.511363548297932
4          23          0.06373622801442992
4          24          1.4958754839356558
4          25          3.9002090756013574
4          26          1.8674499728323692
4          27          3.593473441331127
4          28          2.2040679850252864
4          29          4.374463434017766
4          30          7.429471424448524
5          0          7.423855915101526
5          1          2.389695884727073
5          2          0.06117686032923915
5          3          1.6261129612404612
5          4          3.6036968959925115
5          5          1.9215502507678863
5          6          3.4236893436216325
5          7          2.168138011688439
5          8          4.678776481981604
5          9          6.964962034356676
5          10          4.889753019637745
5          11          2.6111199985043556
5          12          3.614420628191936
5          13          5.969147823446623
5          14          3.4516666583118756
5          15          2.503676411493867
5          16          4.9544464488264515
5          17          4.726165667170212
5          18          3.800480764117662
5          19          2.2451030166116652
5          20          2.057694392283968
5          21          7.014744409653115
5          22          17.42979496487982
5          23          6.534254960751568
5          24          10.576173166952408
5          25          4.473476666451791
5          26          8.728224574832192
5          27          12.753374074640307
5          28          2.9307669392692293
5          29          4.665607403555016
5          30          13.628689973176813
6          0          3.4291605013697994
6          1          2.439932561054847
6          2          5.102861163654658
6          3          4.937321194439607
6          4          3.8563914100968684
6          5          2.164719852781072
6          6          2.1652928307606487
6          7          6.869765144998469
6          8          17.259170904034985
6          9          6.434232213443369
6          10          10.484388544086032
6          11          4.496106450937477
6          12          8.580450973993818
6          13          12.54141368432937
6          14          2.859816690030993
6          15          4.469666984919917
6          16          13.463714223025217
6          17          7.4098889410942474
6          18          2.3672830508373055
6          19          0.061463004335015795
6          20          1.5227112176908961
6          21          3.612191516728986
6          22          1.8839284276788835
6          23          3.262533444732745
6          24          2.0906685302405115
6          25          4.527687045116771
6          26          6.921733251448009
6          27          4.850588320103112
6          28          2.4140674188708395
6          29          3.704497176201834
6          30          5.992776794255563
Ключ расшифрования:ЮСО_ШВФ
Ключ шифрования:ГРУБИЯН

Расшифрованный текст
